OriginalFoodCode;OriginalFoodName;EnglishFoodName;EdiblePortion;FoodGroupIS1;FoodGroupIS2;0001;0002;0003;0004;0005;0006;0008;0009;0010;0011;0012;0013;0014;0015;0016;0017;0018;0019;0020;0021;0022;0023;0024;0025;0026;0028;0029;0031;0032;0033;0034;0035;0036;0037;0038;0039;0040;0041;0042;0044;0046;0137;0138
Fæðunúmer;Heiti;Enskt heiti;Ætur hluti;Fæðuflokkur;Undirflokkur;Prótein;Fita;Mettaðar fitusýrur;cis-Einómettaðar fitusýrur;cis-Fjölómettaðar fitusýrur;cis-Fjölómettaðar fitus. n-3 langar;trans-Fitusýrur;Kólesteról;Kolvetni, alls;Sykrur;Viðbættur sykur;Trefjaefni;Alkóhól;Steinefni, alls;Vatn;A-vítamín, RJ;Retinol;Beta-karótín;D-vítamín;E-vítamín, alfa-TJ;Alfa-tókóferol;B1-vítamín;B2-vítamín;Níasín-jafngildi;Níasín;B6-vítamín;Fólat, alls;B-12 vítamín;C-vítamín;Kalk;Fosfór;Magnesíum;Natríum;Kalíum;Járn;Sink;Kopar;Joð;Mangan;Selen;Flúor;cis-Fjölóm. fitus. n-6;cis-Fjölóm. fitus. n-3
;;;;;;g;g;g;g;g;g;g;mg;g;g;g;g;g;g;g;µg;µg;µg;µg;mg;mg;mg;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;mg;mg;mg;mg;mg;µg;mg;µg;mg;g;g
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;EGG, svartfuglsegg, hrá;Egg, guillemot, whole, raw;85;9;1;12,2;14,1;4,08;6,96;1,14;0,84;0,02;770;2,0;;0;0;0;1,3;72,0;;;;;;;;;;;;;;;67,7;329;11,0;124;124;4,19;1,44;0,089;24,1;0,062;80,3;0,010;0,28;0,86
0002;RÆKJA, djúpsteikt;Prawn, deep fried;100;8;6;13,47;23,0;3,48;7,12;9,87;0,13;1,11;150;19,3;0;0;1,5;0;2,4;40,4;2;2;0;3,5;5,3;5,3;0,13;0,550;6,6;2,3;0,040;4;0,09;0;51;210;24;882;112;4;1,0;0,60;12,8;;18,6;;8,68;1,19
3;SÚKKULAÐI, súkkulíki, til bökunar;Chocolate, artificial, for baking;100;11;3;8,3;30,0;27,95;0,72;0,24;;0,22;;58,0;;;0,9;0;2,3;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;0,22;0,02
0004;FISKBÚÐINGUR, niðursoðinn;Fish loaf, canned;100;8;5;6,5;0,6;0,2;0,1;0,2;0,1;;17;9,1;0,3;0,;0,;0,;3,7;79,5;2,18333;2,1;1,0;0,;0,15;0,15;0,01;0,05;1,5;0,44;0,067;4,2;0,34;0,;19,3;86,2;13,1;786;117,;0,35;0,13;0,07;66,;;;0,02;;
0005;FISKBOLLUR, niðursoðnar;Fish balls, canned;100;8;5;5;0,4;0,13;0,07;0,13;0,07;;17;7;0,3;0,;0,;0,;1,6;85,3;2,18333;2,1;1,0;0,;0,15;0,15;0,01;0,03;1,6;0,6;0,067;4,2;0,34;0,;23,0;56,8;7,3;592;73,4;0,15;0,16;0,019;42,0;0,008;10,1;0,02;;
0006;SNAKK, kartöfluflögur, fituríkar;Potato chips, fatty;100;14;2;6,2;35,0;12,69;16,21;4,49;0;0,07;0;40,6;0,7;0;11;0;4,2;3,0;0,166667;0;2;0;3,1;3,1;0,19;0,07;6,1;4,6;0,89;20;0;0;37;130;56;1420;1190;1,3;0,63;0,22;0;0,20;8,1;;4,38;0,11
